name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vijayawada,2024-09-25,86.1,78.3,81.5,99.9,78.3,88.6,78.4,90.4,0.961,100,16.67,rain,0,0,17.7,6.7,209.2,1002.3,95.8,7.3,150.4,13,7,60,2024-09-25T05:56:48,2024-09-25T18:01:13,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-09-26,89.6,78.8,83.9,105.1,78.8,93.8,78.4,84.1,0.046,100,8.33,rain,0,0,19.7,9.2,201.7,1003.1,88,5.8,158.3,13.6,6,60,2024-09-26T05:56:55,2024-09-26T18:00:25,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-09-27,87.7,78.8,82.6,99.9,78.8,91.9,78.6,88.2,0.28,100,8.33,rain,0,0,18.1,8.3,180.5,1006.2,82.2,5.1,163.7,14,6,60,2024-09-27T05:57:03,2024-09-27T17:59:37,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-09-28,93.5,79.1,85.1,113.1,79.1,97.9,79.7,84.7,0.01,100,4.17,rain,0,0,14.5,6.9,162.8,1008.3,55.8,6.3,213.9,18.5,7,60,2024-09-28T05:57:10,2024-09-28T17:58:49,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-09-29,92.6,80.5,85.8,113,87.9,99.7,79.7,82.6,0.017,100,4.17,rain,0,0,12.8,6.9,161.4,1009.4,50.2,6.3,214.5,18.4,8,75,2024-09-29T05:57:18,2024-09-29T17:58:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-09-30,93.2,80.1,86,110.3,86.4,98.6,78.8,80.1,0,0,0,rain,0,0,13.6,6.9,188.6,1009.3,40.1,5.8,233.2,20.1,8,75,2024-09-30T05:57:26,2024-09-30T17:57:14,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-01,93.2,80.1,85.9,110.9,86,98.1,78.4,79.4,0.004,100,4.17,rain,0,0,12.8,9.2,191,1007.3,39.4,6.8,242.2,20.9,8,100,2024-10-01T05:57:34,2024-10-01T17:56:27,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-02,93.4,77,84.5,116.6,77,95.8,78.4,82.7,0.677,100,12.5,rain,0,0,34.4,23,204,1006.8,54.9,5.5,279.2,24.3,9,100,2024-10-02T05:57:42,2024-10-02T17:55:40,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-03,95.2,77.4,85.5,111.4,77.4,95,77.3,78,0.004,100,4.17,rain,0,0,18.8,9.2,290,1005.6,61.6,5.8,236.4,20.3,9,100,2024-10-03T05:57:51,2024-10-03T17:54:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-04,96.8,78.7,87.4,115.8,78.7,99.6,78.1,75.2,0.004,100,4.17,rain,0,0,16.1,8.1,290.1,1006.1,36.3,6.3,245.8,21.2,8,75,2024-10-04T05:58:00,2024-10-04T17:54:08,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-05,96.8,80.6,88.1,115.3,88.1,101.8,78.6,74.6,0,0,0,,0,0,12.1,8.1,278.9,1006.7,29.1,5.3,266.8,23,9,75,2024-10-05T05:58:09,2024-10-05T17:53:22,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-06,91.4,75.6,83.7,108.1,75.6,93.6,77.5,82.1,0.014,100,4.17,rain,0,0,13.2,6.9,74,1008.3,69.2,6.5,205.3,17.5,8,60,2024-10-06T05:58:18,2024-10-06T17:52:37,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-07,92.2,78.6,83.4,105.8,78.6,90.6,76.9,82.1,0.451,100,4.17,rain,0,0,17.9,6.9,84.9,1010.2,45.8,6,225.7,19.3,8,60,2024-10-07T05:58:28,2024-10-07T17:51:52,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-08,91.4,78.5,83,105.1,78.5,91.4,77.5,84,0.008,100,8.33,rain,0,0,16.3,9.2,102.8,1010.7,37.1,5.8,174.8,15.1,7,60,2024-10-08T05:58:39,2024-10-08T17:51:08,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
